ID,Day,Publisher,Post_Text,Media,Source,FC_Src
1,1,Dept. of Health,Follow these easy steps to help prevent the spread of the flu!,flu_chart.jpg,https://publichealth-direct.gov/info,Verified government account managed by the Public Information Office.
2,1,Food & Drug Admin,"Voluntary recall of ""Golden Harvest"" (Lot #GH-404)",recall_notice.jpg,https://regulatory-alerts.gov/fda,The recall is precautionary. There is no immediate health threat.
3,1,City News 24,"BREAKING: Police reporting a ""disturbance"" at Central Hospital.",police_line.jpg,https://citynews24-live.com/local,"Police scanner traffic indicates ""Violent Assault"" codes being used."
4,1,News_City_Live,Fights breaking out at SuperMart! Shoppers are angry about the grain shortage. Police are on scene.,crowd_shoving.jpg,https://citylive.news/feed,"Police report ""Minor Disturbances."" No arrests made."
5,1,CatLovers,"If I fits, I sits!",cat_box.jpg,https://purrdaily.net/home,Account posts exclusively about feline care and adoption.
6,1,Shopping_Hacks,Some stores are selling the recalled rice without labels! Check the bottom of the bag for the stamp.,,https://savemore.tips/feed,Several unauthorized retailers are bypassing the recall to sell inventory.
7,1,Dr. A. Vance,"Seeing neuro symptoms in admitted patients: High fever + Aggression. Not responding to medications. Colleagues, please DM",,https://med-forum.net/neurology/thread-449,A restricted discussion forum for licensed medical professionals. Access requires a medical license number.
8,1,The Patriot,The National Guard is taking over the North District. Why is nobody reporting this??,blurred_trucks.jpg,https://freedom-eagle-watch.org/news,Image reverse search shows these are old photos from a flood in 2021.
9,1,FunnyBone,"Me eating the ""Forbidden Bread"" because I'm broke and hungry.",cat_meme.jpg,https://dailyhaha.social/posts,"Comments are full of people joking about ""Mutant Flour."""
10,1,Gov. Official,False information is being spread on social media at this time. Please rely on official channels for updates. Be mindful. Be safe.,,https://publicnotice.gov/latest,False information is a known epidemic during times of stress.
11,1,Kyle R.,My roommate just locked himself in his room. He’s screaming at the wall. Should I call someone?? ,,https://social/@kyleR/post/839201,"Matches ""aggressive behavior"" reports from the hospital."
12,1,MemeLord69,Me waiting for my pizza delivery while the world ends because of some grain virus,this_is_fine.jpg,https://shitpost.zone/u/memelord69,People are using humor as a coping mechanism.
13,1,CityHealth_Official,REMINDER: All city pharmacies remain OPEN for essential needs! Please maintain orderly queues for everyone's safety.,,https://cityhealth.gov/updates,Post auto-scheduled 14 hours ago.
14,1,Anonymous,"It's not a virus or a fungus. It's a frequency. Put your phone in the microwave, it blocks the signal!",,https://4chan-archive.org/pol/thread-992,"While leaks sometimes occur here, it is primarily a hub for trolling and misinformation."
15,1,David T.,"Lol my neighbor is boarding up his windows. It's just a bad flu season, chill out boomer.",,https://social/@davidT/post/102948,Previously posted anti-mask content during Covid-19.
16,2,Gov. Official,"Main roads are now ""Safety Corridors"" for ambulances. Please help us save lives by using side streets.",checkpoint.jpg,https://publicnotice.gov/latest,"""Safety Corridors"" are standard protocol during civil emergencies or natural disasters to guarantee ambulance access."
17,2,Jenna O.,Ambulance turned away at the 4th Ave checkpoint! Critical patient! Need contact ASAP,,https://social/@jennao/post/481902,"DELETED: Post removed automatically for containing ""Restricted GPS Coordinates."" Publisher is a registered nurse at City General. "
18,2,FunnyBone,"Me staring at my recalled Mac n cheese because the ""Safety Corridor"" is closed and I have nothing else to eat",side_eye_meme.jpg,https://dailyhaha.social/posts,"Comments section is debating whether the real reason for lockdown is ""gas leak"" or ""terrorism."""
19,2,City Mayor,We are redirecting power to save lives! Residential electricity is being paused so hospitals can keep running. Thank you for understanding.,,https://mayor-office.gov/updates,"Utility status page shows ""Planned Maintenance"". Hospital generators are active. However, the grid shutdown coincides with reports of infrastructure fires."
20,2,Foodie_Tess,Use this downtime to organize your pantry! A tidy home is a happy home!,pantry.jpg,https://foodietess.social/posts,Residential electricity has been cut to 90% of the sector. 'Tidying' is difficult in near-total darkness.
21,2,Dr. A. Vance,[CONTENT REMOVED BY MODERATOR],,https://med-forum.net/neurology/thread-452,User suspended for sharing unverified medical data and violating Health Privacy Laws.
22,2,Kevin L.,"Is anyone else's calls dropping? My mom isn't answering and the news just says ""network congestion"". It's been hours.",,https://social/@kevinl/post/772104,80% of cell towers in the North District are unresponsive.
23,2,Military_Insider,"They aren't saving us, they are trapping us in here! The order is ""Total Containment"", No one leaves",,https://defenseleak.watch/posts,"Official checkpoints are turning back cars, but authorities claim this is to keep roads clear for ""Hazard Teams."""
24,2,Lifestyle_Mag,10 Fun Board Games for Lockdown! Number 4 will surprise you!,board_game.jpg,https://lifestylemag.live/trending,Lifestyle blog written by a mother of four. Content scheduled 3 days ago.
25,2,Anonymous,THE WATER IS TAINTED. DON'T DRINK FROM THE TAP.,,https://social/@anon_1049/post/900311,No chemical contaminants detected in the water supply.
26,2,Dept. of Defense,Grocery restocking is proceeding on schedule. Please purchase only what you need to avoid artificial shortages.,,https://defense-command.gov/brief,Checkpoints have halted all commercial traffic. No food is entering the city.
27,2,Campus_Free_Press,THEY CAN'T KEEP US HERE! We just busted the main building doors open! Run for the west gate! Uni is full of infected!!,,https://studentvoice.net/updates,Surveillance drones show a mass breakout at the University. A large crowd is moving toward the West Gate.
28,2,Crypto_King,Crypto flash crash! Buy now before it stabilizes!,,https://blockalpha.net/feed,Financial data feed lost. Unable to retrieve current pricing.
29,2,Traffic Authority,"To improve air quality, the main bridge is temporarily closed to private vehicles. Please enjoy the walk!",bridge_walk.jpg,https://traffic-control.gov/live,The bridge is blockaded by military vehicles. Pedestrian crossing is prohibited.
30,2,Unknown_User,Let us in... please... it's cold...,,https://social/@unknown_user/post/000918,[NO FURTHER DATA]
31,3,Gov. Official,"Good morning, citizens. Essential services are running smoothly. Please remain calm.",workers_stock.jpg,https://publicnotice.gov/latest,"Martial Law is active in Sectors 4, 8, and 9. All services have been seized for military use only."
32,3,Sarah J.,"They got in. Hiding in the closet. If someone sees this, tell my mom I love her.",,https://pulse.social/@sarahj/post/593782,No further activity detected from this device.
33,3,Gov. Official,Food distribution centers are open at the Stadium. Please proceed in an orderly fashion.,,https://publicnotice.gov/latest,The Stadium is a high-security detention center for infected citizens. It is unsafe to enter.
34,3,CatLovers,Cat of the Day - Mr. Whiskers!,whiskers.jpg,https://purrdaily.net/home,Automated post scheduled 4 days ago.
